Detector Type/ Descriptor Type  ;Matches;Process Time;Total Time;;Detector Type/ Descriptor Type  ;Total Matches;Total Process Time;Total Total Time;Total Matches / Total Total Time;;
SHITOMASI/BRISK;95;3,4766;15,3763;;;;;;;;
SHITOMASI/BRISK;88;0,7484;10,5552;;;;;;;;
SHITOMASI/BRISK;80;1,3344;11,2801;;;;;;;;
SHITOMASI/BRISK;90;2,692;13,1076;;;;;;;;
SHITOMASI/BRISK;82;1,493;16,8023;;;;;;;;
SHITOMASI/BRISK;79;1,442;16,4297;;;;;;;;
SHITOMASI/BRISK;85;4,5262;16,4011;;;;;;;;
SHITOMASI/BRISK;86;3,0006;14,2553;;;;;;;;
SHITOMASI/BRISK;82;1,4024;12,1283;;SHITOMASI/BRISK;767;20,1156;126,3359;6;;
SHITOMASI/BRIEF;115;3,4716;15,3759;;;;;;;;
SHITOMASI/BRIEF;111;0,6612;11,8735;;;;;;;;
SHITOMASI/BRIEF;104;1,584;13,1556;;;;;;;;
SHITOMASI/BRIEF;101;1,2995;11,8766;;;;;;;;
SHITOMASI/BRIEF;102;1,701;13,8813;;;;;;;;
SHITOMASI/BRIEF;102;1,4539;15,7271;;;;;;;;
SHITOMASI/BRIEF;100;1,3705;13,3326;;;;;;;;
SHITOMASI/BRIEF;109;1,435;13,7752;;;;;;;;
SHITOMASI/BRIEF;100;3,7186;15,2948;;SHITOMASI/BRIEF;944;16,6953;124,2926;7;;
SHITOMASI/ORB;104;1,3537;11,0924;;;;;;;;
SHITOMASI/ORB;103;0,7224;10,8753;;;;;;;;
SHITOMASI/ORB;100;1,3181;11,1753;;;;;;;;
SHITOMASI/ORB;102;3,5492;13,4024;;;;;;;;
SHITOMASI/ORB;103;1,2779;11,2242;;;;;;;;
SHITOMASI/ORB;98;1,2337;12,2185;;;;;;;;
SHITOMASI/ORB;98;1,2931;11,1188;;;;;;;;
SHITOMASI/ORB;102;2,7731;12,4481;;;;;;;;
SHITOMASI/ORB;97;1,3157;11,3635;;SHITOMASI/ORB;907;14,8369;104,9185;8;;
SHITOMASI/FREAK;90;3,5925;13,5146;;;;;;;;
SHITOMASI/FREAK;88;0,8014;12,185;;;;;;;;
SHITOMASI/FREAK;87;2,6451;12,6156;;;;;;;;
SHITOMASI/FREAK;89;4,6781;14,8177;;;;;;;;
SHITOMASI/FREAK;83;1,7294;13,7615;;;;;;;;
SHITOMASI/FREAK;78;2,3679;13,9994;;;;;;;;
SHITOMASI/FREAK;81;2,838;14,9986;;;;;;;;
SHITOMASI/FREAK;86;1,8049;13,0673;;;;;;;;
SHITOMASI/FREAK;84;2,031;12,757;;SHITOMASI/FREAK;766;22,4883;121,7167;6;;
SHITOMASI/SIFT;112;0,7983;11,0946;;;;;;;;
SHITOMASI/SIFT;109;0,7027;10,9796;;;;;;;;
SHITOMASI/SIFT;104;1,279;11,231;;;;;;;;
SHITOMASI/SIFT;103;1,271;11,1436;;;;;;;;
SHITOMASI/SIFT;99;1,2608;11,5157;;;;;;;;
SHITOMASI/SIFT;101;1,2427;11,385;;;;;;;;
SHITOMASI/SIFT;96;2,0049;14,9685;;;;;;;;
SHITOMASI/SIFT;106;1,2967;12,4614;;;;;;;;
SHITOMASI/SIFT;97;1,2358;12,3002;;SHITOMASI/SIFT;927;11,0919;107,0796;8;;
HARRIS/BRISK;12;3,4633;13,6498;;;;;;;;
HARRIS/BRISK;10;0,629;12,3442;;;;;;;;
HARRIS/BRISK;14;1,4656;16,026;;;;;;;;
HARRIS/BRISK;15;1,4073;11,6767;;;;;;;;
HARRIS/BRISK;16;1,4522;18,7439;;;;;;;;
HARRIS/BRISK;16;1,6256;12,4318;;;;;;;;
HARRIS/BRISK;15;1,2869;14,8845;;;;;;;;
HARRIS/BRISK;23;1,3995;13,044;;;;;;;;
HARRIS/BRISK;21;1,9065;14,6937;;HARRIS/BRISK;142;14,6359;127,4946;1;;
HARRIS/BRIEF;14;5,4016;16,0005;;;;;;;;
HARRIS/BRIEF;11;0,8534;14,8368;;;;;;;;
HARRIS/BRIEF;15;1,4286;15,5676;;;;;;;;
HARRIS/BRIEF;20;1,1556;10,7451;;;;;;;;
HARRIS/BRIEF;24;1,1617;14,2715;;;;;;;;
HARRIS/BRIEF;26;1,7486;12,4417;;;;;;;;
HARRIS/BRIEF;16;1,5632;11,6587;;;;;;;;
HARRIS/BRIEF;24;1,1914;11,8543;;;;;;;;
HARRIS/BRIEF;23;1,8594;12,6099;;HARRIS/BRIEF;173;16,3635;119,9861;1;;
HARRIS/ORB;12;1,842;14,6265;;;;;;;;
HARRIS/ORB;13;0,6204;11,7366;;;;;;;;
HARRIS/ORB;16;1,1069;12,2946;;;;;;;;
HARRIS/ORB;18;1,2477;11,7901;;;;;;;;
HARRIS/ORB;24;1,1682;15,8639;;;;;;;;
HARRIS/ORB;18;1,1841;11,7278;;;;;;;;
HARRIS/ORB;15;1,1878;11,8314;;;;;;;;
HARRIS/ORB;24;1,712;12,8151;;;;;;;;
HARRIS/ORB;20;1,1329;13,046;;HARRIS/ORB;160;11,202;115,732;1;;
HARRIS/FREAK;13;3,1681;13,2689;;;;;;;;
HARRIS/FREAK;13;0,5693;11,2979;;;;;;;;
HARRIS/FREAK;15;3,6294;15,9385;;;;;;;;
HARRIS/FREAK;15;1,331;11,9465;;;;;;;;
HARRIS/FREAK;17;1,1632;17,323;;;;;;;;
HARRIS/FREAK;20;1,3019;12,7186;;;;;;;;
HARRIS/FREAK;14;1,5332;13,2981;;;;;;;;
HARRIS/FREAK;21;1,3916;12,87;;;;;;;;
HARRIS/FREAK;18;1,2885;12,712;;HARRIS/FREAK;146;15,3762;121,3735;1;;
HARRIS/SIFT;14;0,5388;11,3654;;;;;;;;
HARRIS/SIFT;11;0,9425;10,7126;;;;;;;;
HARRIS/SIFT;16;1,1192;10,9812;;;;;;;;
HARRIS/SIFT;19;1,9224;11,6427;;;;;;;;
HARRIS/SIFT;22;1,156;16,7118;;;;;;;;
HARRIS/SIFT;22;1,6745;11,0471;;;;;;;;
HARRIS/SIFT;13;2,8757;13,6499;;;;;;;;
HARRIS/SIFT;24;2,2468;13,263;;;;;;;;
HARRIS/SIFT;22;2,2923;13,4862;;HARRIS/SIFT;163;14,7682;112,8599;1;;
FAST/BRISK;256;3,5382;4,9179;;;;;;;;
FAST/BRISK;243;1,449;2,8258;;;;;;;;
FAST/BRISK;241;1,9096;3,2474;;;;;;;;
FAST/BRISK;239;2,1148;4,046;;;;;;;;
FAST/BRISK;215;1,8843;3,2603;;;;;;;;
FAST/BRISK;251;2,3667;3,7762;;;;;;;;
FAST/BRISK;248;3,8129;5,1861;;;;;;;;
FAST/BRISK;243;1,8179;3,2152;;;;;;;;
FAST/BRISK;247;1,9461;3,3726;;FAST/BRISK;2183;20,8395;33,8475;64;;
FAST/BRIEF;320;3,7377;5,2003;;;;;;;;
FAST/BRIEF;332;1,1511;2,5158;;;;;;;;
FAST/BRIEF;299;1,7983;3,18;;;;;;;;
FAST/BRIEF;331;2,3084;3,7262;;;;;;;;
FAST/BRIEF;276;2,4958;3,956;;;;;;;;
FAST/BRIEF;327;1,5944;2,996;;;;;;;;
FAST/BRIEF;324;1,9627;3,411;;;;;;;;
FAST/BRIEF;315;1,8878;4,01;;;;;;;;
FAST/BRIEF;307;1,717;3,1684;;FAST/BRIEF;2831;18,6532;32,1637;88;;!!!BEST RESULT 1
FAST/ORB;306;2,4999;4,0556;;;;;;;;
FAST/ORB;314;1,6836;3,0823;;;;;;;;
FAST/ORB;295;1,7016;3,0289;;;;;;;;
FAST/ORB;318;5,8027;7,1753;;;;;;;;
FAST/ORB;284;1,9094;3,4028;;;;;;;;
FAST/ORB;312;1,951;3,2662;;;;;;;;
FAST/ORB;323;3,6873;5,0416;;;;;;;;
FAST/ORB;306;2,8378;4,8145;;;;;;;;
FAST/ORB;304;1,851;3,2322;;FAST/ORB;2762;23,9243;37,0994;74;;!!!BEST RESULT 3
FAST/FREAK;251;3,7757;5,8242;;;;;;;;
FAST/FREAK;250;1,5014;2,8769;;;;;;;;
FAST/FREAK;228;2,1731;4,1561;;;;;;;;
FAST/FREAK;252;1,8379;3,2182;;;;;;;;
FAST/FREAK;234;1,869;3,2096;;;;;;;;
FAST/FREAK;269;1,9528;3,4136;;;;;;;;
FAST/FREAK;252;1,7834;3,13;;;;;;;;
FAST/FREAK;243;2,2514;3,616;;;;;;;;
FAST/FREAK;246;2,3998;3,739;;FAST/FREAK;2225;19,5445;33,1836;67;;
FAST/SIFT;316;2,4586;4,5117;;;;;;;;
FAST/SIFT;325;1,4264;2,8554;;;;;;;;
FAST/SIFT;297;2,0852;3,3979;;;;;;;;
FAST/SIFT;311;1,859;3,1934;;;;;;;;
FAST/SIFT;291;2,2356;3,5471;;;;;;;;
FAST/SIFT;326;2,3566;3,7261;;;;;;;;
FAST/SIFT;315;2,7002;4,0406;;;;;;;;
FAST/SIFT;300;2,0449;3,434;;;;;;;;
FAST/SIFT;301;3,3222;4,7253;;FAST/SIFT;2782;20,4887;33,4315;83;;!!!BEST RESULT 2
BRISK/BRISK;171;4,8968;55,0316;;;;;;;;
BRISK/BRISK;176;0,9847;53,2747;;;;;;;;
BRISK/BRISK;157;1,6053;56,2221;;;;;;;;
BRISK/BRISK;176;1,7379;52,043;;;;;;;;
BRISK/BRISK;174;1,5816;52,9124;;;;;;;;
BRISK/BRISK;188;2,1314;51,6784;;;;;;;;
BRISK/BRISK;173;1,809;52,7859;;;;;;;;
BRISK/BRISK;171;4,0033;57,1676;;;;;;;;
BRISK/BRISK;184;1,5347;56,1721;;BRISK/BRISK;1570;20,2847;487,2878;3;;
BRISK/BRIEF;178;3,9158;56,9691;;;;;;;;
BRISK/BRIEF;205;0,9665;55,0922;;;;;;;;
BRISK/BRIEF;185;1,4775;53,7303;;;;;;;;
BRISK/BRIEF;179;1,5623;55,4554;;;;;;;;
BRISK/BRIEF;183;1,7193;55,5974;;;;;;;;
BRISK/BRIEF;195;1,6569;58,326;;;;;;;;
BRISK/BRIEF;207;1,7713;53,2873;;;;;;;;
BRISK/BRIEF;189;1,5941;57,1006;;;;;;;;
BRISK/BRIEF;183;3,1445;55,2867;;BRISK/BRIEF;1704;17,8082;500,845;3;;
BRISK/ORB;160;1,8081;53,0756;;;;;;;;
BRISK/ORB;171;0,985;58,0067;;;;;;;;
BRISK/ORB;157;1,4813;50,8175;;;;;;;;
BRISK/ORB;170;1,5389;50,6559;;;;;;;;
BRISK/ORB;154;2,352;56,4317;;;;;;;;
BRISK/ORB;180;1,6857;53,5256;;;;;;;;
BRISK/ORB;171;1,5964;52,3527;;;;;;;;
BRISK/ORB;175;4,0577;58,4254;;;;;;;;
BRISK/ORB;172;1,5422;57,5593;;BRISK/ORB;1510;17,0473;490,8504;3;;
BRISK/FREAK;160;3,5827;52,0626;;;;;;;;
BRISK/FREAK;178;1,1465;51,9407;;;;;;;;
BRISK/FREAK;156;1,6698;53,2316;;;;;;;;
BRISK/FREAK;173;1,6338;52,428;;;;;;;;
BRISK/FREAK;160;1,5209;53,4746;;;;;;;;
BRISK/FREAK;183;1,6792;54,0364;;;;;;;;
BRISK/FREAK;169;1,6806;56,1687;;;;;;;;
BRISK/FREAK;179;1,4476;51,1382;;;;;;;;
BRISK/FREAK;168;10,3436;59,4622;;BRISK/FREAK;1526;24,7047;483,943;3;;
BRISK/SIFT;182;1,3389;49,7582;;;;;;;;
BRISK/SIFT;193;1,1092;51,826;;;;;;;;
BRISK/SIFT;169;1,6333;57,2749;;;;;;;;
BRISK/SIFT;183;1,606;52,8691;;;;;;;;
BRISK/SIFT;171;1,6766;55,598;;;;;;;;
BRISK/SIFT;195;2,3795;52,0941;;;;;;;;
BRISK/SIFT;194;1,6164;56,9514;;;;;;;;
BRISK/SIFT;176;2,9575;55,9034;;;;;;;;
BRISK/SIFT;183;1,5309;65,9131;;BRISK/SIFT;1646;15,8483;498,1882;3;;
ORB/BRISK;73;3,506;9,5144;;;;;;;;
ORB/BRISK;74;0,9293;6,085;;;;;;;;
ORB/BRISK;79;2,3791;8,3013;;;;;;;;
ORB/BRISK;85;1,3814;7,0258;;;;;;;;
ORB/BRISK;79;1,5505;6,5561;;;;;;;;
ORB/BRISK;92;1,8469;7,2802;;;;;;;;
ORB/BRISK;90;1,3943;6,3671;;;;;;;;
ORB/BRISK;88;1,304;6,7669;;;;;;;;
ORB/BRISK;91;1,4412;6,5712;;ORB/BRISK;751;15,7327;64,468;11;;
ORB/BRIEF;49;3,8876;9,0543;;;;;;;;
ORB/BRIEF;43;0,6702;5,6403;;;;;;;;
ORB/BRIEF;45;1,5855;6,4676;;;;;;;;
ORB/BRIEF;59;1,2825;7,4671;;;;;;;;
ORB/BRIEF;53;2,0567;7,3605;;;;;;;;
ORB/BRIEF;78;1,9306;6,9387;;;;;;;;
ORB/BRIEF;68;1,3421;7,7974;;;;;;;;
ORB/BRIEF;84;1,4353;7,1742;;;;;;;;
ORB/BRIEF;66;1,218;6,4058;;ORB/BRIEF;545;15,4085;64,3059;8;;
ORB/ORB;65;1,2056;6,2643;;;;;;;;
ORB/ORB;69;0,7201;5,8514;;;;;;;;
ORB/ORB;71;1,2438;7,6041;;;;;;;;
ORB/ORB;85;1,3443;6,6741;;;;;;;;
ORB/ORB;91;1,2538;6,4863;;;;;;;;
ORB/ORB;101;1,5458;6,8651;;;;;;;;
ORB/ORB;95;1,5825;6,3552;;;;;;;;
ORB/ORB;93;1,2395;5,9981;;;;;;;;
ORB/ORB;91;1,3287;7,0513;;ORB/ORB;761;11,4641;59,1499;12;;
ORB/FREAK;42;3,1818;9,7068;;;;;;;;
ORB/FREAK;36;0,6383;6,1444;;;;;;;;
ORB/FREAK;45;1,194;6,5158;;;;;;;;
ORB/FREAK;47;1,192;6,4404;;;;;;;;
ORB/FREAK;44;1,2029;6,3679;;;;;;;;
ORB/FREAK;51;1,4394;6,2289;;;;;;;;
ORB/FREAK;52;1,2254;6,9146;;;;;;;;
ORB/FREAK;49;1,3735;6,7769;;;;;;;;
ORB/FREAK;55;1,6207;6,9665;;ORB/FREAK;421;13,068;62,0622;6;;
ORB/SIFT;67;0,7214;5,9185;;;;;;;;
ORB/SIFT;79;0,6144;5,7225;;;;;;;;
ORB/SIFT;78;2,2317;9,424;;;;;;;;
ORB/SIFT;79;1,5895;7,459;;;;;;;;
ORB/SIFT;82;1,4331;7,5029;;;;;;;;
ORB/SIFT;95;1,2701;6,7638;;;;;;;;
ORB/SIFT;95;1,5145;6,9783;;;;;;;;
ORB/SIFT;94;1,3654;6,6958;;;;;;;;
ORB/SIFT;94;1,2811;6,6991;;ORB/SIFT;763;12,0212;63,1639;12;;
AKAZE/BRISK;137;0,8315;61,3679;;;;;;;;
AKAZE/BRISK;125;0,8168;59,7721;;;;;;;;
AKAZE/BRISK;129;1,568;60,602;;;;;;;;
AKAZE/BRISK;129;1,7054;64,7788;;;;;;;;
AKAZE/BRISK;131;1,4423;60,6458;;;;;;;;
AKAZE/BRISK;132;1,3406;56,3585;;;;;;;;
AKAZE/BRISK;142;1,5241;61,3458;;;;;;;;
AKAZE/BRISK;146;1,3942;61,7943;;;;;;;;
AKAZE/BRISK;144;2,1069;68,9965;;AKAZE/BRISK;1215;12,7298;555,6617;2;;
AKAZE/BRIEF;141;1,1936;63,3366;;;;;;;;
AKAZE/BRIEF;134;0,7954;63,7884;;;;;;;;
AKAZE/BRIEF;131;1,4126;64,027;;;;;;;;
AKAZE/BRIEF;130;1,3136;63,8974;;;;;;;;
AKAZE/BRIEF;134;1,4583;67,2147;;;;;;;;
AKAZE/BRIEF;146;1,3089;61,2079;;;;;;;;
AKAZE/BRIEF;150;1,3121;61,4475;;;;;;;;
AKAZE/BRIEF;148;1,3903;64,6429;;;;;;;;
AKAZE/BRIEF;152;1,3479;61,6659;;AKAZE/BRIEF;1266;11,5327;571,2283;2;;
AKAZE/ORB;130;0,9102;57,7102;;;;;;;;
AKAZE/ORB;129;0,8275;63,2362;;;;;;;;
AKAZE/ORB;128;1,3185;60,3571;;;;;;;;
AKAZE/ORB;115;1,4627;62,0376;;;;;;;;
AKAZE/ORB;132;4,0616;59,2855;;;;;;;;
AKAZE/ORB;132;1,3264;56,4845;;;;;;;;
AKAZE/ORB;137;1,2935;57,1888;;;;;;;;
AKAZE/ORB;137;1,5823;56,4204;;;;;;;;
AKAZE/ORB;146;1,447;67,7485;;AKAZE/ORB;1186;14,2297;540,4688;2;;
AKAZE/FREAK;126;0,8633;60,319;;;;;;;;
AKAZE/FREAK;128;0,8383;61,0486;;;;;;;;
AKAZE/FREAK;128;1,4662;61,9701;;;;;;;;
AKAZE/FREAK;121;1,297;58,1933;;;;;;;;
AKAZE/FREAK;123;1,2621;52,8759;;;;;;;;
AKAZE/FREAK;132;1,4106;55,7903;;;;;;;;
AKAZE/FREAK;145;1,3893;61,7944;;;;;;;;
AKAZE/FREAK;148;1,3258;63,1693;;;;;;;;
AKAZE/FREAK;137;3,3744;78,7188;;AKAZE/FREAK;1188;13,227;553,8797;2;;
AKAZE/AKAZE;138;1,1272;63,2715;;;;;;;;
AKAZE/AKAZE;138;0,9199;59,3834;;;;;;;;
AKAZE/AKAZE;133;1,3908;66,6561;;;;;;;;
AKAZE/AKAZE;127;1,3836;60,3998;;;;;;;;
AKAZE/AKAZE;129;1,3378;60,5085;;;;;;;;
AKAZE/AKAZE;146;1,5761;64,4704;;;;;;;;
AKAZE/AKAZE;147;1,5557;64,4206;;;;;;;;
AKAZE/AKAZE;151;1,3095;73,1527;;;;;;;;
AKAZE/AKAZE;150;2,7847;80,3538;;AKAZE/AKAZE;1259;13,3853;592,6168;2;;
AKAZE/SIFT;134;0,7868;66,0862;;;;;;;;
AKAZE/SIFT;134;1,0174;60,7932;;;;;;;;
AKAZE/SIFT;130;1,3718;64,7201;;;;;;;;
AKAZE/SIFT;136;1,3492;63,7525;;;;;;;;
AKAZE/SIFT;137;1,3396;62,5797;;;;;;;;
AKAZE/SIFT;147;1,4329;62,2561;;;;;;;;
AKAZE/SIFT;147;1,4668;61,0948;;;;;;;;
AKAZE/SIFT;154;1,6082;64,238;;;;;;;;
AKAZE/SIFT;151;1,7969;68,2684;;AKAZE/SIFT;1270;12,1696;573,789;2;;
SIFT/BRISK;64;0,7451;61,7195;;;;;;;;
SIFT/BRISK;66;0,8608;61,5101;;;;;;;;
SIFT/BRISK;63;1,3482;61,5273;;;;;;;;
SIFT/BRISK;67;1,6842;62,7097;;;;;;;;
SIFT/BRISK;59;1,2918;60,2547;;;;;;;;
SIFT/BRISK;64;1,4022;62,7122;;;;;;;;
SIFT/BRISK;64;2,107;61,516;;;;;;;;
SIFT/BRISK;67;1,3615;73,1381;;;;;;;;
SIFT/BRISK;80;1,6354;62,5471;;SIFT/BRISK;594;12,4362;567,6347;1;;
SIFT/BRIEF;86;0,8058;62,1065;;;;;;;;
SIFT/BRIEF;78;0,8326;52,6622;;;;;;;;
SIFT/BRIEF;77;1,2726;69,3693;;;;;;;;
SIFT/BRIEF;86;1,3708;65,2388;;;;;;;;
SIFT/BRIEF;69;1,2868;60,0632;;;;;;;;
SIFT/BRIEF;74;1,3622;66,4119;;;;;;;;
SIFT/BRIEF;76;1,4705;75,663;;;;;;;;
SIFT/BRIEF;70;1,3241;64,8118;;;;;;;;
SIFT/BRIEF;88;1,4858;65,9311;;SIFT/BRIEF;704;11,2112;582,2578;1;;
SIFT/FREAK;64;0,7802;56,9714;;;;;;;;
SIFT/FREAK;72;0,9993;58,165;;;;;;;;
SIFT/FREAK;66;1,7962;59,5975;;;;;;;;
SIFT/FREAK;67;1,9487;61,8569;;;;;;;;
SIFT/FREAK;63;1,4846;60,1984;;;;;;;;
SIFT/FREAK;58;1,301;63,3762;;;;;;;;
SIFT/FREAK;64;1,2587;60,3243;;;;;;;;
SIFT/FREAK;65;1,4564;64,2034;;;;;;;;
SIFT/FREAK;79;1,3199;57,2012;;SIFT/FREAK;598;12,345;541,8943;1;;
SIFT/SIFT;82;1,4104;59,2775;;;;;;;;
SIFT/SIFT;81;1,0761;60,1414;;;;;;;;
SIFT/SIFT;86;1,9866;71,4018;;;;;;;;
SIFT/SIFT;94;1,4325;66,7145;;;;;;;;
SIFT/SIFT;90;1,3337;57,2111;;;;;;;;
SIFT/SIFT;81;1,285;57,9043;;;;;;;;
SIFT/SIFT;82;1,5096;59,2698;;;;;;;;
SIFT/SIFT;102;1,3564;61,6943;;;;;;;;
SIFT/SIFT;104;1,5263;72,7464;;SIFT/SIFT;802;12,9166;566,3611;1;;
